User_ID,Day,Question,Answer
user_12345,2025-11-18,What are VWAT's hours of operation?,"VWAT Family Services

Phone: +1-647-343-8928, ext. 116
Email: info@vwat.org
Website: www.vwat.org"
user_67890,2025-11-18,How do I book an appointment?,You can book an appointment online at www.vwat.org/appointments
user_12345,2025-11-18,Các dịch vụ của VWAT là gì?,"VWAT cung cấp dịch vụ định cư, việc làm, lớp tiếng Anh và nhiều hơn nữa."
2025-11-18,Job or training,"Looking for a job or want to upgrade your skills? <strong>VWAT</strong> offers free, professional employment support from experienced employment counsellors who can guide you through job search, training, and career development. Please choose the option that best matches what you need help with:"
2025-11-18,Senior services,"Looking for programs or support for seniors? <strong>VWAT</strong> offers a variety of services to help seniors stay active, connected, and informed. Please choose the option that best matches what you need help with:"
user_1763500805442_a2l43o03v,2025-11-18,Volunteer / events / partnerships,"Looking to volunteer, attend community events, or collaborate with VWAT? We offer opportunities for newcomers, youth, and community members to get involved, share skills, and connect with others. We also welcome community partners, agencies, and employers who want to collaborate - whether it's co-hosting workshops, hiring newcomer staff, or posting job opportunities on our <strong>VWAT</strong> Job Board. Please select the option that best matches your interest:"
user_1763500805442_a2l43o03v,2025-11-18,Senior services,"Looking for programs or support for seniors? <strong>VWAT</strong> offers a variety of services to help seniors stay active, connected, and informed. Please choose the option that best matches what you need help with:"
user_1763500805442_a2l43o03v,2025-11-18,Youth programs,"Looking for programs or support for youth? <strong>VWAT</strong> offers activities, workshops, and resources to help newcomer youth stay engaged, develop skills, and connect with the community. Please select the option that best matches what you need help with:"
user_1763500805442_a2l43o03v,2025-11-18,Other / Not sure,Could you please briefly tell us what you're looking for?
user_1763500805442_a2l43o03v,2025-11-18,Job or training,"Looking for a job or want to upgrade your skills? <strong>VWAT</strong> offers free, professional employment support from experienced employment counsellors who can guide you through job search, training, and career development. Please choose the option that best matches what you need help with:"
user_1763500805442_a2l43o03v,2025-11-18,Job or training,"Looking for a job or want to upgrade your skills? <strong>VWAT</strong> offers free, professional employment support from experienced employment counsellors who can guide you through job search, training, and career development. Please choose the option that best matches what you need help with:"
user_1763500805442_a2l43o03v,2025-11-18,i want trainning,"VWAT offers free training programs including:
• Food Safety skills training
• Nail Technician skills training
• English for Employment classes
• G1 Driver’s Licence Study Support
• Various employment readiness workshops"
user_1763500805442_a2l43o03v,2025-11-18,Contact Information,"<strong>VWAT</strong> Family Services

📞 Phone: <strong>+1-647-343-8928, ext. 116</strong>
📧 Email: info@vwat.org
🌐 Website: <a href=""https://www.vwat.org"" target=""_blank"">www.vwat.org</a>

We aim to respond within 1 to 2 business days."
user_1763500805442_a2l43o03v,2025-11-18,Volunteer / events / partnerships,"Looking to volunteer, attend community events, or collaborate with VWAT? We offer opportunities for newcomers, youth, and community members to get involved, share skills, and connect with others. We also welcome community partners, agencies, and employers who want to collaborate - whether it's co-hosting workshops, hiring newcomer staff, or posting job opportunities on our <strong>VWAT</strong> Job Board. Please select the option that best matches your interest:"
